date,account_value
2013-04-04,1136219.6983692648
2013-04-05,1135665.9436977007
2013-04-08,1136887.7785680124
2013-04-09,1151935.0029422743
2013-04-10,1164225.5671581938
2013-04-11,1159008.8463440002
2013-04-12,1154271.4048318493
2013-04-15,1125974.8247221883
2013-04-16,1136068.7377888577
2013-04-17,1123071.4850654386
2013-04-18,1117588.7784868558
2013-04-19,1121683.2896674864
2013-04-22,1136540.5557338984
2013-04-23,1149586.7376146815
2013-04-24,1155226.0482982171
2013-04-25,1162575.3777969067
2013-04-26,1165660.8928401216
2013-04-29,1172720.316913894
2013-04-30,1175567.0997816003
2013-05-01,1159661.3930735094
2013-05-02,1172310.3134550287
2013-05-03,1193680.6579321865
2013-05-06,1198117.1862173006
2013-05-07,1210493.267580681
2013-05-08,1212675.7887825167
2013-05-09,1208645.469974124
2013-05-10,1202961.5511692383
2013-05-13,1201659.4000356628
2013-05-14,1210783.3774134323
2013-05-15,1210986.2010243665
2013-05-16,1212659.8316642898
2013-05-17,1227515.7753193954
2013-05-20,1231865.8141892683
2013-05-21,1233118.2376857742
2013-05-22,1225531.8656933368
2013-05-23,1220706.796326239
2013-05-24,1217453.4884067003
2013-05-28,1224533.775127169
2013-05-29,1220443.1997073577
2013-05-30,1221793.2975956462
2013-05-31,1208185.966883175
2013-06-03,1220105.869345072
2013-06-04,1212560.3493585608
2013-06-05,1195053.6210479739
2013-06-06,1195604.0891891483
2013-06-07,1212530.3765774425
2013-06-10,1208887.2588590719
2013-06-11,1197895.9859521182
2013-06-12,1191427.0427335894
2013-06-13,1208505.98303109
2013-06-14,1195780.0550242998
2013-06-17,1204001.569626055
2013-06-18,1210870.1984568045
2013-06-19,1199839.2451173994
2013-06-20,1174535.2598857444
2013-06-21,1176597.96161282
2013-06-24,1160040.700239468
2013-06-25,1168843.1056021007
2013-06-26,1176510.1334428447
2013-06-27,1187668.7665451225
2013-06-28,1180865.5896319526
2013-07-01,1184290.1169502337
2013-07-02,1179596.0490891975
2013-07-03,1179329.6424812817
2013-07-05,1187853.3601088545
2013-07-08,1195207.591404631
2013-07-09,1211955.3015312464
2013-07-10,1211754.3841166631
2013-07-11,1230970.307489529
2013-07-12,1229109.486614733
2013-07-15,1238411.016776915
2013-07-16,1236892.187800217
2013-07-17,1230819.2820773472
2013-07-18,1234495.2278656333
2013-07-19,1222085.7924452631
2013-07-22,1225188.693684498
2013-07-23,1223757.0108930399
2013-07-24,1210271.686153002
2013-07-25,1204231.3610499557
2013-07-26,1202322.8983131202
2013-07-29,1201904.034766081
2013-07-30,1204976.4866197817
2013-07-31,1202694.8224408305
2013-08-01,1218109.7259763968
2013-08-02,1217279.9645832311
2013-08-05,1211312.9219778236
2013-08-06,1201073.4694677813
2013-08-07,1200141.5555149177
2013-08-08,1209714.803636452
2013-08-09,1209540.9754373038
2013-08-12,1216652.4526683523
2013-08-13,1219807.4358580401
2013-08-14,1211456.2178190998
2013-08-15,1200331.470018454
2013-08-16,1196538.2607024596
2013-08-19,1188084.000165436
2013-08-20,1186700.9430689241
2013-08-21,1177195.5180109905
2013-08-22,1190382.4690298599
2013-08-23,1199419.2141233503
2013-08-26,1192586.71471863
2013-08-27,1177939.813295031
2013-08-28,1181405.8250873778
2013-08-29,1183607.0623186096
2013-08-30,1183272.4705644648
2013-09-03,1181044.7019749873
2013-09-04,1189272.5271030085
2013-09-05,1187056.8859926092
2013-09-06,1188543.0635387672
2013-09-09,1207884.8915983355
